"token","freq","which"
"afford to",3,2
"afraid of",3,2
"afraid to",2,2
"african american",5,2
"african influences",2,2
"africans had",2,2
"after a",22,2
"after all",29,2
"after an",3,2
"after being",2,2
"after class",3,2
"after day",2,2
"after giving",2,2
"after having",2,2
"after he",7,2
"after him",3,2
"after his",3,2
"after i",18,2
"after it",5,2
"after many",2,2
"after months",2,2
"after much",3,2
"after my",3,2
"after one",3,2
"after our",2,2
"after pm",2,2
"after reading",2,2
"after seeing",2,2
"after shots",3,2
"after some",3,2
"after that",9,2
"after the",36,2
"after they",3,2
"after this",4,2
"after time",2,2
"after two",3,2
"after we",3,2
"after which",4,2
"after you",2,2
"after youre",2,2
"afternoon and",2,2
"afternoon i",3,2
"afternoon to",3,2
"afterwards im",2,2
"again a",3,2
"again and",10,2
"again but",2,2
"again for",6,2
"again he",3,2
"again i",9,2
"again if",2,2
"again in",5,2
"again it",2,2
"again look",2,2
"again my",2,2
"again that",2,2
"again the",8,2
"again this",4,2
"again to",4,2
"again when",2,2
"against a",2,2
"against all",2,2
"against him",2,2
"against his",3,2
"against it",3,2
"against its",2,2
"against rs",2,2
"against that",2,2
"against the",19,2
"against those",3,2
"against us",2,2
"age and",2,2
"age of",4,2
"age statements",2,2
"age that",2,2
"agenda to",2,2
"agents i",2,2
"ago after",2,2
"ago and",8,2
"ago i",8,2
"ago it",2,2
"ago my",2,2
"ago she",3,2
"ago so",2,2
"ago the",3,2
"ago then",2,2
"ago we",2,2
"ago when",4,2
"ago while",2,2
"ago with",2,2
"agree that",3,2
"agree to",2,2
"agree with",7,2
"agreed that",2,2
"agreed to",2,2
"agreed with",4,2
"ahead and",5,2
"ahead of",5,2
"aid to",3,2
"aim to",3,2
"aimlessly and",2,2
"air and",6,2
"air conditioning",2,2
"air on",2,2
"airsoft weapon",2,2
"album in",2,2
"album that",2,2
"album with",2,2
"albuquerque turkey",3,2
"ale is",2,2
"alex under",3,2
"alice in",2,2
"all a",5,2
"all about",17,2
"all ages",3,2
"all along",5,2
"all and",6,2
"all are",3,2
"all around",2,2
"all at",3,2
"all be",5,2
"all but",7,2
"all by",2,2
"all come",2,2
"all day",9,2
"all different",5,2
"all done",3,2
"all down",2,2
"all for",3,2
"all gathered",2,2
"all gone",2,2
"all have",4,2
"all he",3,2
"all her",4,2
"all his",2,2
"all honesty",2,2
"all i",17,2
"all in",9,2
"all is",7,2
"all it",7,2
"all its",3,2
"all just",6,2
"all kinds",6,2
"all know",8,2
"all levels",3,2
"all like",3,2
"all made",2,2
"all my",16,2
"all need",2,2
"all night",8,2
"all of",88,2
"all other",4,2
"all others",2,2
"all our",7,2
"all over",21,2
"all people",2,2
"all previous",2,2
"all provinces",2,2
"all right",4,2
"all round",2,2
"all schools",2,2
"all she",2,2
"all so",5,2
"all some",2,2
"all songs",2,2
"all sorts",3,2
"all still",2,2
"all surprising",2,2
"all ten",2,2
"all that",16,2
"all the",117,2
"all their",3,2
"all there",3,2
"all these",16,2
"all they",4,2
"all things",5,2
"all this",12,2
"all those",14,2
"all three",5,2
"all times",3,2
"all to",4,2
"all together",3,2
"all too",2,2
"all up",4,2
"all we",6,2
"all who",3,2
"all with",2,2
"all would",2,2
"all you",7,2
"all your",5,2
"allow the",2,2
"allow to",2,2
"allow you",4,2
"allowed to",8,2
"allows me",2,2
"allure of",2,2
"almost all",3,2
"almost as",5,2
"almost every",3,2
"almost impossible",3,2
"almost too",2,2
"almost years",2,2
"alone at",2,2
"alone but",4,2
"alone i",2,2
"alone in",4,2
"along a",2,2
"along i",2,2
"along the",9,2
"along to",5,2
"along with",26,2
"alongside the",3,2
"alot of",3,2
"already and",2,2
"already at",2,2
"already been",3,2
"already done",3,2
"already had",2,2
"already has",3,2
"already have",4,2
"already in",2,2
"already reached",2,2
"already taken",2,2
"also a",18,2
"also able",2,2
"also be",11,2
"also been",4,2
"also does",2,2
"also for",2,2
"also found",2,2
"also got",3,2
"also had",3,2
"also has",6,2
"also have",6,2
"also help",3,2
"also i",3,2
"also in",2,2
"also includes",2,2
"also it",2,2
"also known",3,2
"also make",4,2
"also my",2,2
"also need",3,2
"also no",2,2
"also not",4,2
"also of",2,2
"also one",2,2
"also quite",2,2
"also received",2,2
"also said",2,2
"also saw",2,2
"also shared",2,2
"also take",2,2
"also takes",2,2
"also taking",2,2
"also taught",2,2
"also the",8,2
"also they",2,2
"also think",2,2
"also to",3,2
"also use",2,2
"also used",3,2
"also want",4,2
"alternative to",2,2
"although he",3,2
"although i",8,2
"although it",5,2
"although its",2,2
"although the",7,2
"although they",3,2
"always a",8,2
"always add",2,2
"always always",3,2
"always balked",2,2
"always be",8,2
"always been",5,2
"always do",2,2
"always find",2,2
"always for",2,2
"always fun",3,2
"always give",3,2
"always had",4,2
"always has",2,2
"always have",6,2
"always knew",2,2
"always loved",3,2
"always one",2,2
"always seems",2,2
"always so",2,2
"always the",3,2
"always wanted",4,2
"am a",12,2
"am also",4,2
"am and",2,2
"am at",2,2
"am aware",2,2
"am convinced",2,2
"am currently",2,2
"am definitely",2,2
"am feeling",2,2
"am glad",2,2
"am going",8,2
"am happy",3,2
"am here",3,2
"am hoping",3,2
"am i",23,2
"am in",2,2
"am just",2,2
"am looking",3,2
"am more",2,2
"am most",2,2
"am not",25,2
"am now",2,2
"am on",3,2
"am playing",2,2
"am proud",2,2
"am ready",2,2
"am really",3,2
"am so",5,2
"am sorry",2,2
"am still",8,2
"am sure",5,2
"am talking",2,2
"am the",5,2
"am to",2,2
"am very",3,2
"am working",3,2
"amazed at",5,2
"amazes me",2,2
"amazing and",2,2
"amazing how",2,2
"amazing job",2,2
"amazing thing",2,2
"amazon eu",2,2
"amazon services",2,2
"amber heard",2,2
"america in",2,2
"america is",2,2
"america the",4,2
"american history",3,2
"american idol",2,2
"american society",2,2
"among other",2,2
"among the",13,2
"among them",3,2
"among those",3,2
"amount of",23,2
"amount to",3,2
"amounts of",2,2
"an absolute",3,2
"an accident",3,2
"an act",3,2
"an actual",3,2
"an ad",4,2
"an additional",5,2
"an adult",3,2
"an adventure",2,2
"an affordable",2,2
"an afternoon",3,2
"an agency",2,2
"an agenda",2,2
"an agent",2,2
"an airsoft",2,2
"an almost",2,2
"an alternative",2,2
"an amazing",14,2
"an angry",3,2
"an animal",3,2
"an anxiety",2,2
"an appearance",2,2
"an appointment",4,2
"an army",2,2
"an array",3,2
"an art",3,2
"an article",2,2
"an artist",3,2
"an aside",2,2
"an attempt",2,2
"an audience",3,2
"an author",3,2
"an awesome",5,2
"an earlier",2,2
"an early",3,2
"an easy",7,2
"an edge",2,2
"an educational",3,2
"an effort",2,2
"an egg",2,2
"an email",4,2
"an emergency",2,2
"an emotional",2,2
"an emotionally",2,2
"an end",3,2
"an enemy",2,2
"an engagement",2,2
"an entire",5,2
"an entirely",2,2
"an entry",3,2
"an episode",3,2
"an escape",2,2
"an even",2,2
"an evening",3,2
"an event",2,2
"an exciting",2,2
"an exercise",2,2
"an expensive",2,2
"an external",2,2
"an extra",6,2
"an extract",2,2
"an eye",3,2
"an hour",13,2
"an idea",3,2
"an illustration",2,2
"an image",4,2
"an immediate",2,2
"an important",4,2
"an imprint",2,2
"an improvement",2,2
"an increase",2,2
"an incredible",4,2
"an independent",2,2
"an individual",2,2
"an instrument",2,2
"an interest",2,2
"an interesting",6,2
"an interview",2,2
"an ipod",2,2
"an object",2,2
"an obnoxious",2,2
"an obvious",2,2
"an old",14,2
"an older",4,2
"an only",2,2
"an open",3,2
"an opportunity",4,2
"an option",3,2
"an orange",3,2
"an ordinary",2,2
"an orphanage",3,2
"an orthopedic",2,2
"an out",2,2
"an outdoor",2,2
"analysis by",2,2
"analysis of",5,2
"and £",3,2
"and a",127,2
"and about",4,2
"and abused",2,2
"and act",2,2
"and add",9,2
"and added",2,2
"and adults",2,2
"and affordable",2,2
"and after",13,2
"and again",4,2
"and against",2,2
"and air",2,2
"and all",26,2
"and allow",6,2
"and almost",2,2
"and also",14,2
"and although",5,2
"and always",3,2
"and am",4,2
"and an",13,2
"and andrew",2,2
"and another",4,2
"and answer",2,2
"and antheil",2,2
"and any",4,2
"and anything",2,2
"and appreciate",2,2
"and are",19,2
"and around",4,2
"and as",20,2
"and ask",3,2
"and asked",4,2
"and associated",2,2
"and assumptions",2,2
"and at",6,2
"and b",2,2
"and back",2,2
"and be",9,2
"and beat",2,2
"and beautiful",3,2
"and because",7,2
"and been",2,2
"and began",2,2
"and begin",2,2
"and being",10,2
"and believable",2,2
"and believe",2,2
"and benefits",2,2
"and berries",2,2
"and best",3,2
"and black",3,2
"and blinked",2,2
"and blue",6,2
"and bold",2,2
"and boring",2,2
"and both",4,2
"and bought",4,2
"and bring",5,2
"and broken",2,2
"and brought",3,2
"and build",2,2
"and burn",2,2
"and business",2,2
"and butter",2,2
"and buy",3,2
"and buying",2,2
"and by",9,2
